pair,code1,code2,prediction,confidence,semantic_similarity,hard_mismatch,mismatch_reasons,ground_truth,predicted_match
BG,BET-4552,GAM-972,APPROVE,91.3,87.5,False,[],1,1
AB,ALP-052,BET-4553,APPROVE,95.0,100.0,False,[],1,1
AG,ALP-052,GAM-973,APPROVE,91.3,87.5,False,[],1,1
BG,BET-4553,GAM-973,APPROVE,91.3,87.5,False,[],1,1
AB,ALP-053,BET-4554,APPROVE,90.8,85.9,False,[],1,1
AG,ALP-053,GAM-974,APPROVE,94.7,99.0,False,[],1,1
BG,BET-4554,GAM-974,APPROVE,90.9,86.2,False,[],1,1
AB,ALP-054,BET-4555,APPROVE,94.0,96.8,False,[],1,1
AG,ALP-054,GAM-975,APPROVE,91.1,87.0,False,[],1,1
BG,BET-4555,GAM-975,APPROVE,90.9,86.2,False,[],1,1
AB,ALP-055,BET-4556,APPROVE,94.1,96.9,False,[],1,1
AG,ALP-055,GAM-976,APPROVE,91.0,86.6,False,[],1,1
BG,BET-4556,GAM-976,APPROVE,90.8,86.0,False,[],1,1
AB,ALP-056,BET-4557,APPROVE,90.5,85.1,False,[],1,1
AG,ALP-056,GAM-977,REVIEW,84.5,98.5,False,[],1,0
BG,BET-4557,GAM-977,REVIEW,80.3,84.2,False,[],1,0
AB,ALP-057,BET-4558,APPROVE,94.7,99.0,False,[],1,1
AG,ALP-057,GAM-978,REVIEW,80.4,84.6,False,[],1,0
BG,BET-4558,GAM-978,REVIEW,80.3,84.2,False,[],1,0
AB,ALP-058,BET-4559,APPROVE,94.3,97.6,False,[],1,1
AG,ALP-058,GAM-979,REVIEW,80.9,86.4,False,[],1,0
BG,BET-4559,GAM-979,REVIEW,80.5,84.9,False,[],1,0
AB,ALP-059,BET-4560,REVIEW,83.0,93.2,False,[],1,0
AG,ALP-059,GAM-980,APPROVE,93.0,93.3,False,[],1,1
BG,BET-4560,GAM-980,REVIEW,82.2,90.7,False,[],1,0
AB,ALP-060,BET-4561,REVIEW,84.9,99.6,False,[],1,0
AG,ALP-060,GAM-981,APPROVE,92.3,90.9,False,[],1,1
BG,BET-4561,GAM-981,REVIEW,82.2,90.7,False,[],1,0
AB,ALP-061,BET-4562,REVIEW,84.9,99.5,False,[],1,0
AG,ALP-061,GAM-982,APPROVE,91.1,86.9,False,[],1,1
BG,BET-4562,GAM-982,REVIEW,80.7,85.6,False,[],1,0
AB,ALP-062,BET-4563,REVIEW,80.3,84.5,False,[],1,0
AG,ALP-062,GAM-983,REVIEW,84.6,98.7,False,[],1,0
BG,BET-4563,GAM-983,REVIEW,80.5,84.9,False,[],1,0
AB,ALP-063,BET-4564,REVIEW,80.3,84.5,False,[],1,0
AG,ALP-063,GAM-984,REVIEW,84.6,98.7,False,[],1,0
BG,BET-4564,GAM-984,REVIEW,80.5,84.9,False,[],1,0
AB,ALP-064,BET-4565,REVIEW,80.5,84.8,False,[],1,0
AG,ALP-064,GAM-985,REVIEW,84.8,99.2,False,[],1,0
BG,BET-4565,GAM-985,REVIEW,80.5,84.9,False,[],1,0
AB,ALP-065,BET-4566,REVIEW,82.5,91.7,False,[],1,0
AG,ALP-065,GAM-986,REVIEW,83.6,95.4,False,[],1,0
BG,BET-4566,GAM-986,APPROVE,93.4,94.5,False,[],1,1
AB,ALP-066,BET-4567,REVIEW,84.3,97.7,False,[],1,0
AG,ALP-066,GAM-987,REVIEW,82.2,90.8,False,[],1,0
BG,BET-4567,GAM-987,APPROVE,93.4,94.5,False,[],1,1
AB,ALP-067,BET-4568,REVIEW,84.0,96.5,False,[],1,0
AG,ALP-067,GAM-988,REVIEW,82.5,91.8,False,[],1,0
BG,BET-4568,GAM-988,APPROVE,93.1,93.6,False,[],1,1
AB,ALP-068,BET-4569,REVIEW,81.5,88.4,False,[],1,0
AG,ALP-068,GAM-989,REVIEW,83.8,95.9,False,[],1,0
BG,BET-4569,GAM-989,APPROVE,92.6,92.1,False,[],1,1
AB,ALP-069,BET-4570,REVIEW,83.6,95.4,False,[],1,0
AG,ALP-069,GAM-990,REVIEW,82.0,90.0,False,[],1,0
BG,BET-4570,GAM-990,APPROVE,92.6,92.1,False,[],1,1
AB,ALP-070,BET-4571,REVIEW,82.7,92.4,False,[],1,0
AG,ALP-070,GAM-991,REVIEW,82.5,91.6,False,[],1,0
BG,BET-4571,GAM-991,APPROVE,92.8,92.7,False,[],1,1
AB,ALP-071,BET-4572,REVIEW,76.9,98.0,False,[],1,0
AG,ALP-071,GAM-992,REVIEW,77.3,99.3,False,[],1,0
BG,BET-4572,GAM-992,REVIEW,76.9,98.1,False,[],1,0
AB,ALP-072,BET-4573,REVIEW,76.0,95.0,False,[],1,0
AG,ALP-072,GAM-993,REVIEW,76.5,96.8,False,[],1,0
BG,BET-4573,GAM-993,REVIEW,76.9,98.1,False,[],1,0
AB,ALP-073,BET-4574,REVIEW,77.0,98.5,False,[],1,0
AG,ALP-073,GAM-994,REVIEW,76.1,95.3,False,[],1,0
BG,BET-4574,GAM-994,REVIEW,75.7,94.2,False,[],1,0
AB,ALP-074,BET-4575,REVIEW,81.9,89.7,False,[],1,0
AG,ALP-074,GAM-995,REVIEW,84.7,99.2,False,[],1,0
BG,BET-4575,GAM-995,REVIEW,82.1,90.4,False,[],1,0
AB,ALP-075,BET-4576,REVIEW,81.9,89.7,False,[],1,0
AG,ALP-075,GAM-996,REVIEW,84.7,99.2,False,[],1,0
BG,BET-4576,GAM-996,REVIEW,82.1,90.4,False,[],1,0
AB,ALP-076,BET-4577,REVIEW,83.7,95.6,False,[],1,0
AG,ALP-076,GAM-997,REVIEW,83.3,94.3,False,[],1,0
BG,BET-4577,GAM-997,REVIEW,82.0,90.1,False,[],1,0
AB,ALP-077,BET-4578,REVIEW,75.8,94.2,False,[],1,0
AG,ALP-077,GAM-998,DECLINE,68.5,70.0,False,[],1,0
BG,BET-4578,GAM-998,REVIEW,71.7,80.6,False,[],1,0
AB,ALP-078,BET-4579,REVIEW,75.8,94.2,False,[],1,0
AG,ALP-078,GAM-999,DECLINE,68.5,70.0,False,[],1,0
BG,BET-4579,GAM-999,REVIEW,71.7,80.6,False,[],1,0
AB,ALP-079,BET-4580,REVIEW,75.8,94.2,False,[],1,0
AG,ALP-079,GAM-1000,DECLINE,68.5,70.0,False,[],1,0
BG,BET-4580,GAM-1000,REVIEW,71.7,80.6,False,[],1,0
AB,ALP-080,BET-4581,REVIEW,73.2,85.8,False,[],1,0
AG,ALP-080,GAM-1001,REVIEW,74.1,88.7,False,[],1,0
BG,BET-4581,GAM-1001,DECLINE,68.7,70.5,False,[],1,0
AB,ALP-081,BET-4582,REVIEW,73.2,85.8,False,[],1,0
AG,ALP-081,GAM-1002,REVIEW,74.1,88.7,False,[],1,0
BG,BET-4582,GAM-1002,DECLINE,68.7,70.5,False,[],1,0
AB,ALP-082,BET-4583,REVIEW,73.2,85.8,False,[],1,0
AG,ALP-082,GAM-1003,REVIEW,74.1,88.7,False,[],1,0
BG,BET-4583,GAM-1003,DECLINE,68.7,70.5,False,[],1,0
AB,ALP-083,BET-4584,REVIEW,83.4,94.6,False,[],1,0
AG,ALP-083,GAM-1004,REVIEW,83.5,95.1,False,[],1,0
BG,BET-4584,GAM-1004,REVIEW,83.8,95.8,False,[],1,0
AB,ALP-084,BET-4585,REVIEW,83.4,94.6,False,[],1,0
AG,ALP-084,GAM-1005,REVIEW,83.5,95.1,False,[],1,0
BG,BET-4585,GAM-1005,REVIEW,83.8,95.8,False,[],1,0
AB,ALP-085,BET-4586,REVIEW,83.4,94.6,False,[],1,0
AG,ALP-085,GAM-1006,REVIEW,83.5,95.1,False,[],1,0
BG,BET-4586,GAM-1006,REVIEW,83.8,95.8,False,[],1,0
AB,ALP-086,BET-4587,REVIEW,84.2,97.3,False,[],1,0
AG,ALP-086,GAM-1007,REVIEW,84.8,99.3,False,[],1,0
BG,BET-4587,GAM-1007,REVIEW,83.9,96.4,False,[],1,0
AB,ALP-087,BET-4588,REVIEW,84.2,97.3,False,[],1,0
AG,ALP-087,GAM-1008,REVIEW,84.8,99.3,False,[],1,0
BG,BET-4588,GAM-1008,REVIEW,83.9,96.4,False,[],1,0
AB,ALP-088,BET-4589,REVIEW,84.2,97.3,False,[],1,0
AG,ALP-088,GAM-1009,REVIEW,84.8,99.3,False,[],1,0
BG,BET-4589,GAM-1009,REVIEW,83.9,96.4,False,[],1,0
AB,ALP-089,BET-4590,REVIEW,83.9,96.4,False,[],1,0
AG,ALP-089,GAM-1010,REVIEW,84.3,97.7,False,[],1,0
BG,BET-4590,GAM-1010,REVIEW,84.2,97.4,False,[],1,0
AB,ALP-090,BET-4591,REVIEW,83.9,96.4,False,[],1,0
AG,ALP-090,GAM-1011,REVIEW,84.3,97.7,False,[],1,0
BG,BET-4591,GAM-1011,REVIEW,84.2,97.4,False,[],1,0
AB,ALP-001,BET-4526,DECLINE,35.6,97.1,True,['Length mismatch: 50.0 vs 60.0'],0,0
AG,ALP-001,GAM-907,DECLINE,35.1,93.2,True,['Length mismatch: 50.0 vs 60.0'],0,0
BG,BET-4526,GAM-907,APPROVE,99.1,97.0,False,[],1,1
AB,ALP-005,BET-4506,DECLINE,31.3,82.0,True,['Diameter mismatch: 50.0 vs 75.0'],0,0
AG,ALP-005,GAM-887,REVIEW,79.6,81.8,False,[],0,0
BG,BET-4506,GAM-887,REVIEW,84.4,98.2,False,[],1,0
AB,ALP-007,BET-4508,REVIEW,82.8,92.8,False,[],0,0
AG,ALP-007,GAM-889,REVIEW,81.5,88.3,False,[],0,0
BG,BET-4508,GAM-889,REVIEW,82.9,93.1,False,[],1,0
AB,ALP-013,BET-4514,DECLINE,32.9,93.5,True,['Thickness mismatch: 6.0 vs 10.0'],0,0
AG,ALP-013,GAM-895,REVIEW,80.0,83.3,False,[],0,0
BG,BET-4514,GAM-895,REVIEW,81.4,88.2,False,[],1,0
AB,ALP-011,BET-4512,DECLINE,37.2,92.4,True,['Cable size mismatch: 4.0 vs 6.0'],0,0
AG,ALP-011,GAM-893,DECLINE,37.1,91.7,True,['Cable size mismatch: 4.0 vs 6.0'],0,0
BG,BET-4512,GAM-893,REVIEW,84.8,99.4,False,[],1,0
AB,ALP-003,BET-4517,DECLINE,31.4,82.9,True,['Diameter mismatch: 10.0 vs 12.0'],0,0
AG,ALP-003,GAM-898,DECLINE,28.2,83.9,True,['Diameter mismatch: 10.0 vs 12.0'],0,0
BG,BET-4517,GAM-898,REVIEW,87.2,98.9,False,[],1,0
AB,ALP-009,BET-4510,DECLINE,33.8,92.0,True,['Bearing number mismatch: 6205 vs 6206'],0,0
AG,ALP-009,GAM-891,DECLINE,32.3,81.1,True,['Bearing number mismatch: 6205 vs 6206'],0,0
BG,BET-4510,GAM-891,REVIEW,74.5,90.1,False,[],1,0
AB,ALP-015,BET-4523,DECLINE,36.2,84.7,True,['Steel grade mismatch: SS304 vs SS316'],0,0
AG,ALP-015,GAM-904,DECLINE,32.8,84.6,True,['Steel grade mismatch: SS304 vs SS316'],0,0
BG,BET-4523,GAM-904,REVIEW,75.2,92.3,False,[],1,0
AB,ALP-018,BET-4525,DECLINE,29.3,83.8,True,['Material mismatch: galvanized iron vs mild steel'],0,0
AG,ALP-018,GAM-906,DECLINE,24.8,83.3,True,"['Diameter mismatch: 50.0 vs 100.0', 'Material mismatch: galvanized iron vs mild steel']",0,0
BG,BET-4525,GAM-906,REVIEW,81.1,87.1,False,[],1,0
AB,ALP-019,BET-4524,DECLINE,32.0,78.6,True,['Valve type mismatch: butterfly vs gate'],0,0
AG,ALP-019,GAM-905,DECLINE,32.1,79.7,True,['Valve type mismatch: butterfly vs gate'],0,0
BG,BET-4524,GAM-905,APPROVE,92.8,92.6,False,[],1,1
